Referencia,Produto
LACOR 60602,TÁBUA CORTE POLIETILENO CASTANHO 60X40X2 - 60602
LACOR 60603,TÁBUA CORTE POLIETILENO VERMELHO 60X40X2 - 60603
LACOR 60604,TÁBUA CORTE POLIETILENO AMARELO 60X40X2 - 60604
LACOR 60605,TÁBUA CORTE POLIETILENO PRETO 60X40X2 - 60605
LACOR 60606,TÁBUA CORTE POLIETIL. ANTI-ALERG 60X40X2 - 60606
LACOR 60610,BATEDOR GIGANTE 100CM. - 60610
LACOR 60702,PORTA-ROLOS COZINHA DE PAREDE OVAL - 60702
LACOR 60710,SUPORTE DE BARRA INOX 18/10 10 CM. - 60710
LACOR 60731,BARRA FIXAÇãO NOTAS ALUMINIO 305MM - 60731
LACOR 60746,BARRA FIXAÇãO NOTAS ALUMINIO 460MM - 60746
LACOR 60761,BARRA FIXAÇãO NOTAS ALUMINIO 610MM - 60761
LACOR 61001,GUARDANAPO BAR INÓX 8.5X12 CM - 61001
LACOR 61002,GUARDANAPO BAR INÓX 9.5x13.5 - 61002
LACOR 61007,CESTA BATATAS FRITAS QUADRADO 10X8X7 CM - 61007
LACOR 61009,CESTA BATATAS FRITAS REDONDA D.9X8 CM - 61009
LACOR 61021,BANDEJA DE ARDÓSIA 15x20x0.5 CM - 61021
LACOR 61024,LUVA DE COZINHA DE ALGODÁO ALUMINIO 24CM - 61024
LACOR 61025,CAMPAINHA DE RECEÇÃO D.10 CM - 61025
LACOR 61097,NUMEROS DE MESA 6x5 CM. 25-36 INOXIDABLE - 61097
LACOR 61133,CAIXA CONDIMENTOS 3 PCSX1.000 ML C/TAMPA - 61133
LACOR 61341,RALADOR INOX EXTRA FINO - 61341
LACOR 61347,RALADOR COMPRIMO INOX MEDIUM - 61347
LACOR 61415,"MOLHEIRA ""ALADINO"" LUXE 150ML - 61415"
LACOR 61430,"MOLHEIRA ""ALADINO"" LUXE 300ML - 61430"
LACOR 61615,MINI-BATEDOR INOX 15 CM - 61615
LACOR 61631,BATEDOR SUPER 12 30 CM - 61631
LACOR 61634,BATEDORES FIBREGLASS 35CM - 61634
LACOR 61645,BATEDOR EXTRA 8 45CM. - 61645
LACOR 61649,BATEDORES FIBREGLASS 50CM - 61649
LACOR 61671,BATEDEIRA PICADORA LACOR OR 700W - 61671
LACOR 61700,BALANÇA ELECTRONICA C/BASE QUADRADO 150K - 61700
LACOR 61705,BALANÇA MECÂNICA COM BACIA 5 KG INOX - 61705
LACOR 61716,BALANÇA ELECTRONICA COM BASE QUADRADO 15 - 61716
LACOR 61721,BALANÇA DE GANCHO 10KG. - 61721
LACOR 61730,BALANÇA ELECTRONICA COM BASE QUADRADO 30 - 61730
LACOR 61813,CAMPÂNULA DEFUMADORA 12.5x7.5CM - 61813
LACOR 61840,TRAVESSA OVAL INOX 40CM - 61840
LACOR 61845,TRAVESSA OVAL INOX 45CM - 61845
LACOR 61850,TRAVESSA OVAL INOX 50CM - 61850
LACOR 61881,TRAVESSA OVAL INOX 80CM - 61881
LACOR 61925,GARRAFA 250 ML - 61925
LACOR 61940,GARRAFA 400 ML - 61940
LACOR 61940A,GARRAFA AMARELA 400 ML - 61940A
LACOR 61940R,GARRAFA VERMELHA 400 ML - 61940R
LACOR 61970,GARRAFA 700 ML - 61970
LACOR 61970A,GARRAFA AMARELA 700 ML - 61970A
LACOR 61970R,GARRAFA VERMELHA 700 ML - 61970R
LACOR 62023,BULE CLASSIC 0.23LTS. - 62023
LACOR 62084,CAFETEIRA CAFE EXPRES.POLIDO LUXE 4 CHÁ - 62084
LACOR 62160,CAFETEIRA CLASSIC 0.60LTS. - 62160
LACOR 62200,SUPORTE DE MESA P/BALDE DE GELO -R 62200
LACOR 62210,LEITEIRA CLASSIC 1 LTS. - 62210
LACOR 62235,LEITEIRA CLASSIC 0.35LTS. - 62235
LACOR 62263,SUPORTE DE TAÇAS QUADRUPLO - 62263
LACOR 62268,SUPORTE DE TAÇAS TETO / PAREDE - 62268
LACOR 62271,BACIA LISA INÓX 43X30X20 CMS. - 62271
LACOR 62300,PÉ PORTA BALDES - 62300
LACOR 62302,COLHER BATEDORA 27 CMS. - 62302
LACOR 62307,PINÇA DE SERVIÇIO DE MESA - 62307
LACOR 62320,BALDE ARREFECEDOR LUXE ASA INOX 20CMS. - 62320
LACOR 62325,ARREFECEDOR DE GARRAFAS - 62325
LACOR 62326,COADOR BATIDOS 7.7 CMS. - 62326
LACOR 62334,PINÇA MULTIUSOS LUXE INOX 18/10 25CMS. - 62334
LACOR 62346,CHAMPANHEIRO INÓX 18/10 36 CMS. - 62346
LACOR 62352,COLHER COCKTAIL FRIZADA 27 CMS EN INOX - 62352
LACOR 62359,SUPORTE PRESUNTO POLIETILENO ABATIBLE - 62359
LACOR 62424,MOLHEIRA LUXE COM COLHER - 62424
LACOR 62445,ESPETO MORUNO INOX 405MM - 62445
LACOR 62446,ESPETO MORUNO INOX 200MM - 62446
LACOR 62450,TERMÓMETRO REFRIGERADOR COM BASE - 62450
LACOR 62453,TERMÓMETRO ELECTRÓNICO DE CARNE - 62453
LACOR 62457,TERMÓMETRO INFRAVERMELHOS PONTA LASER - 62457
LACOR 62458,TERMÓMETRO DUPLO INFRAVERMELHOS - SONDA - 62458
LACOR 62461,SALEIRO E PIMENTEIRO HYPERLUXE COM SUPOR - 62461
LACOR 62463,GALHETEIRO HYPERLUXE 2 PEÇAS COM SUPORTE - 62463
LACOR 62465,GALHETEIRO HYPERLUXE 4 PEÇAS COM SUPORTE - 62465
LACOR 62479,SUPORTE BALDE DE GELO ARREFECEDOR 20 CM - 62479
LACOR 62481,SERVIDOR TERMO 1 LTS. - 62481
LACOR 62497,JARRA ARREFECEDORA C/TAMPA - REFª 62497
LACOR 62512,FUNIL INOX 12 CM. - 62512
LACOR 62545,DISTRIBUIDOR CEREIS INDIVIDUAL - 62545
LACOR 62597,DISTRIBUIDOR CEREIS DUPLO 2X3.5L - 62597
LACOR 62609,CONCHA PARA MOLHO S.M.B. INOX 18/10 - 62609
LACOR 62680,COADOR 1/2 BOLA 8CM. - 62680
LACOR 62685,ESMAGA-ALHOS LUXE - 62685
LACOR 62689,ABRE-LATAS LXUE 20 CMS. - 62689
LACOR 62690,COADOR CÓNICO 8CM - 62690
LACOR 62753,BANDEJA OVAL MELAMINA 250X183X22 CMS. - 62753
LACOR 62754,BANDEJA OVAL MELAMINA 280X200X24 CMS. - 62754
LACOR 62755,BANDEJA OVAL MELAMINA 314X234X25 CMS. - 62755
LACOR 62762,BANDEJA REDONDA MELAMINA 200X25 MM - 62762
LACOR 62764,BANDEJA REDONDA MELAMINA 254X29 MM - 62764
LACOR 62766,BANDEJA REDONDA MELAMINA 307X33 MM - 62766
LACOR 62791,BANDEJA RECTANGULAR MELAMINA 248X160X23M - 62791
LACOR 62792,BANDEJA RECTANGULAR MELAMINA 280X190X23M - 62792
LACOR 62793,BANDEJA RECTANGULAR MELAMINA 300X208X23M - 62793
LACOR 62795,BANDEJA DE SERVIR REDONDA MELAMINA D 356X40MM - R 62795
LACOR 62796,BANDEJA DE SERVIR REDONDA MELAMINA D 383X51 MM - R 62796
LACOR 62814,MOINHO DE PIMENTA EM ACRÍLICO 14CM - 62814
